username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-05 22:19;0;0;"Tues (3/5/19) trading range % < 5% (Min $5, Vol > 1M, Opt Vol in any strike > 500): $ BABA $ NWL $ NKE $ GLW $ UNP $ MMM $ YELP $ EL $ DE $ BG $ NPTN $ AMGN $ DVA $ SAIL $ HPQ $ EBAY $ RUN $ GILD $ AABA $ EVH $ TXN $ FAST $ NSC $ CAH $ DISH $ COTY $ AALpic.twitter.com/1dU5YDoXEX";;;;"1103057435026055168";https://twitter.com/15minofPham/status/1103057435026055168
;2019-03-05 22:03;0;0;"TOMORROW: Don't miss exclusive interviews with @ UnionPacific $ UNP CEO Lance Fritz & $ CSX CEO James Foote!pic.twitter.com/xWcM9iCYwY";;@;;"1103053427603619840";https://twitter.com/CNBCClosingBell/status/1103053427603619840
;2019-03-05 20:55;0;0;"Rails looking a bit week. $ IYT $ CSX $ UNP";;;;"1103036284962893825";https://twitter.com/beckmanacct/status/1103036284962893825
;2019-03-05 20:41;0;1;"$ NCAP down 27%! Tiniest float of all MARIJUANA stocks! $ AAPL $ GOOG $ INTC $ AMZN $ MSFT $ AKAM $ CMCSA $ PFE $ MU $ NFLX $ NOK $ XOM $ UNH $ DIS $ HSY $ NVDA $ MRNS $ UNP $ BAC $ ORCL $ WMT $ CHK $ GLUU $ AKS $ TWTR $ VZ $ CTL $ FCX $ AMAT $ TSLA $ JPM $ WFT $ PTI $ BIDU $ MRK $ BETR $ AXP $ RIG $ APA $ HPQ $ rxmdpic.twitter.com/7Wj9QYf46Z";;;;"1103032928513245185";https://twitter.com/aaaamhim/status/1103032928513245185
;2019-03-05 20:39;0;0;"Wallington Asset Management Cut Its Union Pacific Corp. $ UNP Stake by $6.07 Million; Exelixis $ Put $ EXEL Position Has Increased by Credit Suisse Aghttps://finheadlines.com/2019/03/05/wallington-asset-management-cut-its-union-pacific-corp-unp-stake-by-6-07-million-exelixis-put-exel-position-has-increased-by-credit-suisse-ag/ …";;;;"1103032309412814848";https://twitter.com/HeadlinesFin/status/1103032309412814848
;2019-03-05 20:27;0;0;"Selz Capital Has Lifted Its United Rentals $ URI Stake by $8.98 Million; Meiji Yasuda Asset Management Company LTD Has Lowered Its Union Pac $ UNP Position by $304,704 https://yomiblog.com/2019/03/05/selz-capital-has-lifted-its-united-rentals-uri-stake-by-8-98-million-meiji-yasuda-asset-management-company-ltd-has-lowered-its-union-pac-unp-position-by-304704/ …";;;;"1103029276427857920";https://twitter.com/BlogYomi/status/1103029276427857920
;2019-03-05 20:16;0;0;"Ani Pharmaceuticals $ ANIP Holder Weiss Asset Management LP Raised Its Holding by $3.38 Million as Share Price Rose; Union Pac $ UNP Shareholder Telos Capital Management Cut Its Stake by $1.96 Million https://finheadlines.com/2019/03/05/ani-pharmaceuticals-anip-holder-weiss-asset-management-lp-raised-its-holding-by-3-38-million-as-share-price-rose-union-pac-unp-shareholder-telos-capital-management-cut-its-stake-by-1-96-million/ …";;;;"1103026437005733890";https://twitter.com/HeadlinesFin/status/1103026437005733890
;2019-03-05 20:01;0;0;"Marco Investment Management Has Decreased Exxon Mobil $ XOM Holding by $490,348; Estabrook Capital Management Lowered Stake in Union Pac $ UNP by $934.99 Million https://hinewulm.com/2019/03/05/marco-investment-management-has-decreased-exxon-mobil-xom-holding-by-490348-estabrook-capital-management-lowered-stake-in-union-pac-unp-by-934-99-million/ …";;;;"1103022785478230016";https://twitter.com/UlmHi/status/1103022785478230016
;2019-03-05 18:43;0;1;"$ NCAP 005 TINIEST FLOAT VS PRICE OF ALL MARIJUANA STOCKS $ AAPL $ GOOG $ INTC $ AMZN $ MSFT $ AKAM $ CMCSA $ PFE $ MU $ NFLX $ NOK $ XOM $ UNH $ DIS $ HSY $ NVDA $ MRNS $ UNP $ BAC $ ORCL $ WMT $ CHK $ GLUU $ AKS $ TWTR $ VZ $ CTL $ FCX $ AMAT $ TSLA $ JPM $ WFT $ PTI $ BIDU $ MRK $ BETR $ AXP $ RIG $ APA $ HPQ $ rxmdpic.twitter.com/6C6F4xJA0Q";;;;"1103003100464463872";https://twitter.com/aaaamhim/status/1103003100464463872
;2019-03-05 17:54;0;1;"$ NCAP soaking up these shares I see a 1000% bounce HERE $ AAPL $ GOOG $ INTC $ AMZN $ MSFT $ AKAM $ CMCSA $ PFE $ MU $ NFLX $ NOK $ XOM $ UNH $ DIS $ HSY $ NVDA $ MRNS $ UNP $ BAC $ ORCL $ WMT $ CHK $ GLUU $ AKS $ TWTR $ VZ $ CTL $ FCX $ AMAT $ TSLA $ JPM $ WFT $ PTI $ BIDU $ MRK $ BETR $ AXP $ RIG $ APA $ HPQ $ rxmdpic.twitter.com/W5XxUbaqgT";;;;"1102990740819460103";https://twitter.com/aaaamhim/status/1102990740819460103
