username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-04 22:54;0;0;"Honeywell International Inc. $ HON Given Average Rating of “Buy” by Brokerages http://www.thestockobserver.com/?p=1981789";;;;"1102703961830756352";https://twitter.com/stocknewstimes/status/1102703961830756352
;2019-03-04 22:51;0;0;"Honeywell International Inc. $ HON Receives $165.34 Average PT from Brokerages http://zpr.io/gEVK8";;;;"1102703250963419137";https://twitter.com/TheMarketsDaily/status/1102703250963419137
;2019-03-04 21:43;0;0;"Acadian Asset Management Boosted Its Holding in Ecopetrol S A $ EC by $26.61 Million as Shares Declined; Meiji Yasuda Asset Management Company LTD Has Upped Holding in Honeywell Intl $ HON by $536,180 https://hinewulm.com/2019/03/04/acadian-asset-management-boosted-its-holding-in-ecopetrol-s-a-ec-by-26-61-million-as-shares-declined-meiji-yasuda-asset-management-company-ltd-has-upped-holding-in-honeywell-intl-hon-by-536180/ …";;;;"1102686016106835969";https://twitter.com/UlmHi/status/1102686016106835969
;2019-03-04 21:31;0;1;"# GrowthSlowing $ HON Purchase plans have risen by 5% from a year earlier in North America, which is home to more than 40% of the world’s helicopter fleet, while declining 26% in Latin America, 7% in Europe and 5% in Asia. https://www.reuters.com/article/us-honeywell-intl-helicopters/honeywell-sees-slowing-demand-for-civilian-helicopters-over-next-five-years-idUSKCN1QL1FD?il=0 …";;;#;"1102683124692017154";https://twitter.com/MillennialMacro/status/1102683124692017154
;2019-03-04 21:16;0;0;"Quaker Capital Investments Increased Kinder Morgan Del $ KMI Holding; As Honeywell Intl $ HON Market Value Declined, Toth Financial Advisory Lifted by $341,960 Its Position https://finreviewer.com/2019/03/04/quaker-capital-investments-increased-kinder-morgan-del-kmi-holding-as-honeywell-intl-hon-market-value-declined-toth-financial-advisory-lifted-by-341960-its-position/ …";;;;"1102679150660325376";https://twitter.com/thefinreviewer/status/1102679150660325376
;2019-03-04 20:42;0;0;"As Honeywell International Co $ HON Stock Value Declined, Shareholder Bridges Investment Management Lowered Holding; Denali Advisors Boosted Tyson Foods $ TSN Stakehttps://finheadlines.com/2019/03/04/as-honeywell-international-co-hon-stock-value-declined-shareholder-bridges-investment-management-lowered-holding-denali-advisors-boosted-tyson-foods-tsn-stake/ …";;;;"1102670667571478528";https://twitter.com/HeadlinesFin/status/1102670667571478528
;2019-03-04 20:03;0;0;"Atalanta Sosnoff Capital Stake in Honeywell Intl $ HON Increased by $4.31 Million as Shares Declined; Clarkston Capital Partners Has Decreased Its Actuant $ ATU Stake by $1.54 Million; Stock Price Declinedhttps://finreviewer.com/2019/03/04/atalanta-sosnoff-capital-stake-in-honeywell-intl-hon-increased-by-4-31-million-as-shares-declined-clarkston-capital-partners-has-decreased-its-actuant-atu-stake-by-1-54-million-stock-price-dec/ …";;;;"1102660931371319297";https://twitter.com/thefinreviewer/status/1102660931371319297
;2019-03-04 19:08;0;0;"Outside Day today: $ SJB $ CRC $ UNT $ AXP $ TEL $ QYLD $ HDLV $ BTU $ VNTR $ VTI $ TAOP $ GIGM $ SRPT $ ABT $ EW $ HES $ HON $ SEF $ STM $ LC ...https://swingtradebot.com/alerts/28-outside-day …";;;;"1102646963747594240";https://twitter.com/SwingTradeBot/status/1102646963747594240
;2019-03-04 18:17;0;0;"As Accenture LTD Cl A $ ACN Valuation Declined, Lodestar Investment Counsel Cut Its Position by $382,500; Honeywell Intl $ HON Shareholder Jnba Financial Advisors Has Lowered Its Position as Market Valuation Declined https://finheadlines.com/2019/03/04/as-accenture-ltd-cl-a-acn-valuation-declined-lodestar-investment-counsel-cut-its-position-by-382500-honeywell-intl-hon-shareholder-jnba-financial-advisors-has-lowered-its-position-as-market-va/ …";;;;"1102634160215212034";https://twitter.com/HeadlinesFin/status/1102634160215212034
;2019-03-04 17:14;0;0;"As Pepsico $ PEP Share Value Rose, Holder North American Management Lowered Holding by $1.35 Million; Jacobs & Co Has Boosted Honeywell International $ HON Stake by $311,416 https://hinewulm.com/2019/03/04/as-pepsico-pep-share-value-rose-holder-north-american-management-lowered-holding-by-1-35-million-jacobs-co-has-boosted-honeywell-international-hon-stake-by-311416/ …";;;;"1102618325367046147";https://twitter.com/UlmHi/status/1102618325367046147
;2019-03-04 16:38;0;0;"Lockheed Martin $ LMT Shareholder State Of New Jersey Common Pension Fund D Lowered Stake; Honeywell Intl $ HON Stock Price Declined While Princeton Portfolio Strategies Group Increased by $847,430 Its Stake https://yomiblog.com/2019/03/04/lockheed-martin-lmt-shareholder-state-of-new-jersey-common-pension-fund-d-lowered-stake-honeywell-intl-hon-stock-price-declined-while-princeton-portfolio-strategies-group-increased-by-847430-it/ …";;;;"1102609354845491200";https://twitter.com/BlogYomi/status/1102609354845491200
;2019-03-04 16:36;0;0;"2019-03-01 Short sale volume (not short interest) for $ HON is 63%. http://shortvolumes.com/?t=HON $ GD 37% $ GE 60% $ EMR 43% $ BA 59%";;;;"1102608649694908416";https://twitter.com/shortvolumes/status/1102608649694908416
;2019-03-04 16:34;0;1;"$ HON 155.99 long new";;;;"1102608360766099457";https://twitter.com/TweetLeni/status/1102608360766099457
;2019-03-04 16:12;0;0;"Honeywell sees demand dip for civilian helicopters https://seekingalpha.com/news/3439500?source=ansh … $ HON";;;;"1102602713387462657";https://twitter.com/CompoundFreedom/status/1102602713387462657
;2019-03-04 15:41;0;0;"Marvin & Palmer Associates Decreased Union Pacific Corp. $ UNP Holding as Shares Declined; Honeywell Intl $ HON Holder Diversified Trust Co Raised Its Holding by $794,974 as Shares Declined https://finheadlines.com/2019/03/04/marvin-honeywell-intl-hon-holder-diversified-trust-co-raised-its-holding-by-794974-as-shares-declined/ …";;;;"1102594961722298368";https://twitter.com/HeadlinesFin/status/1102594961722298368
;2019-03-04 15:29;0;0;"Cisco Systems Ord $ CSCO Holder Canal Insurance Company Decreased Holding; Sva Plumb Wealth Management Continues to Hold Position in Honeywell International $ HON https://endigest.com/2019/03/04/cisco-systems-ord-csco-holder-canal-insurance-company-decreased-holding-sva-plumb-wealth-management-continues-to-hold-position-in-honeywell-international-hon/ …";;;;"1102592030499368961";https://twitter.com/bulletin_en/status/1102592030499368961
;2019-03-04 15:02;0;0;"$ HON - Honeywell sees demand dip for civilian helicopters https://seekingalpha.com/news/3439500-honeywell-sees-demand-dip-civilian-helicopters?source=feed_f …";;;;"1102585069347102720";https://twitter.com/MarketCurrents/status/1102585069347102720
;2019-03-04 14:50;0;0;"# InterestingSTRENGTH Tech & SemiConductors $ SMH $ IYW $ XLK $ VGT $ XSD Industrials $ XLI $ IYJ BioTech & Pharma $ XBI $ IBB $ IHE $ INTC Intel $ CSCO Cisco $ GLW Corning $ HON HoneyWell $ LMT Lockheed Martin";;;#;"1102582051801350144";https://twitter.com/AdaptToReality/status/1102582051801350144
;2019-03-04 14:34;0;0;"Apple Computer $ AAPL Valuation Declined While Foster & Motley Has Cut Its Stake by $399,375; Holder Gradient Investments Has Lifted Honeywell Intl $ HON Position https://finreviewer.com/2019/03/04/apple-computer-aapl-valuation-declined-while-foster-holder-gradient-investments-has-lifted-honeywell-intl-hon-position/ …";;;;"1102578038515093506";https://twitter.com/thefinreviewer/status/1102578038515093506
;2019-03-04 14:34;0;0;"$ HON Honeywell sees slowing demand for civilian helicopters over next five years https://ift.tt/2C1hEgQ";;;;"1102578009431818241";https://twitter.com/themarketisopen/status/1102578009431818241
;2019-03-04 13:52;0;0;"Honeywell International INC $ HON Shareholder Massmutual Trust Company Fsb Increased Its Stake by $1.12 Billion as Shares Declined https://kreviewer.com/2019/03/04/honeywell-international-inc-hon-shareholder-massmutual-trust-company-fsb-increased-its-stake-by-1-12-billion-as-shares-declined/ …";;;;"1102567426460405760";https://twitter.com/kreviewer1/status/1102567426460405760
;2019-03-04 13:52;0;0;"Honeywell International INC $ HON Stake Increased by Massmutual Trust Company Fsb https://ztribune.com/2019/03/04/honeywell-international-inc-hon-stake-increased-by-massmutual-trust-company-fsb/ …";;;;"1102567374098702336";https://twitter.com/FinZTribune/status/1102567374098702336
;2019-03-04 13:51;0;0;"Massmutual Trust Company Fsb Increased Its Honeywell International INC $ HON Stake by $1.12 Billion https://enbulletin.com/2019/03/04/massmutual-trust-company-fsb-increased-its-honeywell-international-inc-hon-stake-by-1-12-billion/ …";;;;"1102567310940876800";https://twitter.com/bulletin_en/status/1102567310940876800
;2019-03-04 06:58;0;0;"PART DEUX!! [SUPPORT & RESISTANCE] using option chain data | $ ABBV $ PAYX $ HON $ SPX $ QQQ $ NVDA $ CMG $ BA $ MU $ AMD $ AJG | # Daytrading # Investing # Business # Finance $ Stocks # StockMarket # Dividend # NYSE # NASDAQ https://youtu.be/6H8YTN_RvUY via @ YouTube";;@;# # # # # # # #;"1102463204855287815";https://twitter.com/TOS_OPTION/status/1102463204855287815
;2019-03-04 06:58;0;0;"How to identify [SUPPORT & RESISTANCE] using option chain data | $ ABBV $ PAYX $ HON $ SPX $ QQQ $ NVDA $ CMG $ BA $ MU $ AMD $ AJG | # Daytrading # Investing # Business # Finance $ Stocks # StockMarket # Dividend # NYSE # NASDAQhttps://youtu.be/DgVZ_X344YA";;;# # # # # # # #;"1102463204754681858";https://twitter.com/TOS_OPTION/status/1102463204754681858
